ZIP_CODE,LATITUDE,LONGTITUDE,PONAME,COLOR
11650,37.488122,127.013235,___,16F22D
11650,37.5007037,127.0104053,___,16F22D
11650,37.4932687,127.0112519,___,16F22D
11650,37.4801039,127.0112598,___,16F22D
11650,37.4896165,126.9919977,___,16F22D
11650,37.4925463,127.007996,___,16F22D
11650,37.4882217,126.9826722,___,16F22D
11560,37.5061854,126.9108182,____,1E6CD6
11290,37.5800667,127.0230546,___,A66FCB
11305,37.6277289,127.0228908,___,F27616
11305,37.6340597,127.0343037,___,F27616
11305,37.652984,127.0118726,___,F27616
11320,37.6500623,127.0510359,___,F2B416
11350,37.6619703,127.0794692,___,C5F216
11560,37.4981027,126.8996276,____,1E6CD6
11500,37.5567034,126.8138502,___,A816F2
11590,37.4819058,126.9637349,___,34EA0C
11590,37.4968342,126.9483446,___,34EA0C
11620,37.4872218,126.9134115,___,E616F2
11620,37.4683417,126.9454042,___,E616F2
11620,37.4711668,126.9602006,___,E616F2
11215,37.5664192,127.0774099,___,F28116
11215,37.5486377,127.1099602,___,F28116
11260,37.5990673,127.1033629,___,16DEF2
11680,37.4665378,127.1191856,___,F7071C
11110,37.5675398,127.0181357,___,A65AFF
11110,37.5556151,127.0138219,___,A65AFF
11215,37.5412716,127.0944103,___,F28116
11650,37.4913652,127.0120571,___,16F22D
11650,37.4843062,127.0295106,___,16F22D
11650,37.4951462,127.0284991,___,16F22D
11650,37.5038866,127.0091671,___,16F22D
11650,37.4942213,127.0125012,___,16F22D
11650,37.4774055,126.9875258,___,16F22D
11650,37.4991635,127.0265615,___,16F22D
11650,37.5067445,127.0053572,___,16F22D
11650,37.5061255,127.0036429,___,16F22D
11650,37.4675226,127.0421085,___,16F22D
11650,37.5147757,127.0109013,___,16F22D
11650,37.490612,126.9922884,___,16F22D
11650,37.4819597,126.9836954,___,16F22D
11650,37.4745832,127.042382,___,16F22D
11650,37.4917843,127.0270635,___,16F22D
11650,37.4767651,126.9833128,___,16F22D
11650,37.5029599,127.0208274,___,16F22D
11650,37.4897049,127.0309786,___,16F22D
11650,37.4767562,126.9835649,___,16F22D
11650,37.4941054,127.0100007,___,16F22D
11650,37.4934052,126.9889305,___,16F22D
11650,37.4847598,127.0321941,___,16F22D
11650,37.4852465,127.012782,___,16F22D
11650,37.483923,127.0401307,___,16F22D
11650,37.4818737,127.0044978,___,16F22D
11650,37.5037808,127.0098739,___,16F22D
11650,37.5168235,127.0188939,___,16F22D
11560,37.5093516,126.8941674,____,1E6CD6
11560,37.5167893,126.8964879,____,1E6CD6
11560,37.5127461,126.8911845,____,1E6CD6
11560,37.5117478,126.8926759,____,1E6CD6
11710,37.4989294,127.1172075,___,DB3323
11560,37.518877,126.8946059,____,1E6CD6
11650,37.4932886,127.0293484,___,16F22D
11650,37.4887235,127.0169773,___,16F22D
11560,37.5167483,126.8924863,____,1E6CD6
11560,37.5155159,126.8928763,____,1E6CD6
11560,37.5202254,126.890073,____,1E6CD6
11560,37.5183902,126.8924068,____,1E6CD6
11560,37.5135879,126.8891654,____,1E6CD6
11560,37.5168996,126.888336,____,1E6CD6
11650,37.486398,127.0045067,___,16F22D
11560,37.5151468,126.8859185,____,1E6CD6
11560,37.5208834,126.8887851,____,1E6CD6
11560,37.5187652,126.8871558,____,1E6CD6
11560,37.5210472,126.8870997,____,1E6CD6
11560,37.519158,126.884908,____,1E6CD6
11560,37.519818,126.8825535,____,1E6CD6
11560,37.5183648,126.8887249,____,1E6CD6
11560,37.5174359,126.9176445,____,1E6CD6
11560,37.5142125,126.9238205,____,1E6CD6
11560,37.515164,126.9180431,____,1E6CD6
11560,37.5160072,126.9209851,____,1E6CD6
11560,37.5188822,126.9087048,____,1E6CD6
11560,37.51955,126.9025952,____,1E6CD6
11560,37.5165479,126.9055397,____,1E6CD6
11560,37.5175409,126.9057372,____,1E6CD6
11560,37.5192303,126.9048618,____,1E6CD6
11560,37.5197676,126.9041466,____,1E6CD6
11560,37.5191023,126.9037848,____,1E6CD6
11560,37.5201676,126.905784,____,1E6CD6
11560,37.519848,126.9056541,____,1E6CD6
11560,37.5213201,126.9053073,____,1E6CD6
11560,37.520831,126.9043202,____,1E6CD6
11560,37.5212412,126.90462,____,1E6CD6
11560,37.521673,126.9047049,____,1E6CD6
11560,37.5250097,126.9076397,____,1E6CD6
11470,37.5199077,126.8325754,___,6323DB
11500,37.5697311,126.8094357,___,A816F2
11470,37.5302693,126.8655646,___,6323DB
11410,37.5589843,126.9392055,____,194C67
11740,37.5451483,127.1295929,___,3616F2
11305,37.6315847,127.0179228,___,F27616
11500,37.5674482,126.8503067,___,A816F2
11350,37.6765124,127.0557541,___,C5F216
11350,37.6195818,127.0804796,___,C5F216
11320,37.6744357,127.0441036,___,F2B416
11410,37.5739201,126.9238418,____,194C67
11680,37.5177234,127.024216,___,F7071C
11410,37.5851303,126.9238657,____,194C67
11320,37.6467586,127.0394528,___,F2B416
11650,37.4925443,126.9909788,___,16F22D
11380,37.5810517,126.8977686,___,16F277
11260,37.5903554,127.0729769,___,16DEF2
11290,37.6038389,127.0132683,___,A66FCB
11110,37.5643361,126.9723492,___,A65AFF
11290,37.5828893,127.0204336,___,A66FCB
11620,37.4824395,126.9194736,___,E616F2
11215,37.5456099,127.1036622,___,F28116
11215,37.5645092,127.087049,___,F28116
11545,37.4630734,126.9034265,___,EA2A0C
11650,37.4859595,127.0187835,___,16F22D
11650,37.4925517,127.0130015,___,16F22D
11650,37.5139113,127.0182379,___,16F22D
11560,37.5187588,126.9050937,____,1E6CD6
11560,37.5232412,126.9029883,____,1E6CD6
11560,37.523737,126.9049392,____,1E6CD6
11380,37.6023042,126.9224771,___,16F277
11380,37.6112204,126.9286986,___,16F277
11380,37.6108057,126.9300779,___,16F277
11380,37.6206927,126.9203885,___,16F277
11740,37.5260897,127.1328674,___,3616F2
11620,37.4882161,126.9327457,___,E616F2
11560,37.5193577,126.9038963,____,1E6CD6
11560,37.5273912,126.9343681,____,1E6CD6
11650,37.5190618,127.0092552,___,16F22D
11440,37.5604305,126.8889633,___,FC00F0
11305,37.6201883,127.0282841,___,F27616
11500,37.5787688,126.8135415,___,A816F2
11620,37.4844256,126.9154642,___,E616F2
11350,37.6549193,127.066999,___,C5F216
11350,37.6546448,127.0637012,___,C5F216
11650,37.4705982,127.0412176,___,16F22D
11560,37.5236403,126.8882593,____,1E6CD6
11560,37.5272006,126.9052597,____,1E6CD6
11110,37.568802,127.0077263,___,A65AFF
11110,37.567948,126.982079,___,A65AFF
11110,37.5604985,126.972925,___,A65AFF
11110,37.5620265,126.9940118,___,A65AFF
11110,37.554053,126.9748246,___,A65AFF
11110,37.5659886,127.0033311,___,A65AFF
11680,37.5240056,127.0228243,___,F7071C
11740,37.5591047,127.1489446,___,3616F2
11290,37.5828177,127.0209822,___,A66FCB
11290,37.6101879,127.0563618,___,A66FCB
11290,37.6009561,127.0332162,___,A66FCB
11650,37.4833083,127.0294865,___,16F22D
11260,37.5893414,127.0957409,___,16DEF2
11350,37.6579413,127.0761917,___,C5F216
11650,37.490443,126.9868762,___,16F22D
11680,37.4907848,127.0692921,___,F7071C
11680,37.4874302,127.1063428,___,F7071C
11680,37.4784642,127.0735581,___,F7071C
11710,37.5082089,127.1325968,___,DB3323
11710,37.5016642,127.1457883,___,DB3323
11350,37.6386812,127.0740285,___,C5F216
11350,37.6385536,127.0512641,___,C5F216
11350,37.6471332,127.0602438,___,C5F216
11350,37.6630925,127.052904,___,C5F216
11350,37.6639785,127.0620354,___,C5F216
11560,37.5240518,126.8864412,____,1E6CD6
11680,37.5185709,127.028251,___,F7071C
11680,37.5051171,127.0254067,___,F7071C
11680,37.485446,127.0433829,___,F7071C
11500,37.5359686,126.86299,___,A816F2
11650,37.4727131,127.0349666,___,16F22D
11500,37.5714682,126.804295,___,A816F2
11500,37.531614,126.8560608,___,A816F2
11470,37.5180249,126.8338428,___,6323DB
11470,37.5115468,126.8724124,___,6323DB
11500,37.5634248,126.8417797,___,A816F2
11350,37.6609273,127.0641764,___,C5F216
11380,37.6147368,126.9158617,___,16F277
11380,37.5981336,126.919437,___,16F277
11380,37.6068212,126.9141415,___,16F277
11410,37.5678378,126.9186952,____,194C67
11440,37.5522684,126.9233336,___,FC00F0
11110,37.5639496,127.0133761,___,A65AFF
11740,37.5566737,127.17196,___,3616F2
11470,37.5303524,126.8712015,___,6323DB
11410,37.560074,126.934334,____,194C67
11560,37.5266614,126.8917431,____,1E6CD6
11560,37.5243251,126.8955041,____,1E6CD6
11440,37.5645845,126.9223387,___,FC00F0
11440,37.5520082,126.9291205,___,FC00F0
11470,37.5280077,126.8732967,___,6323DB
11710,37.5262163,127.1096293,___,DB3323
11560,37.5152116,126.8952614,____,1E6CD6
11560,37.5185472,126.8911605,____,1E6CD6
11560,37.5201112,126.8853624,____,1E6CD6
11560,37.5154607,126.9184703,____,1E6CD6
11560,37.5065154,126.9104574,____,1E6CD6
11560,37.5058185,126.9011124,____,1E6CD6
11650,37.4996154,127.0119772,___,16F22D
11560,37.4973643,126.9124059,____,1E6CD6
11560,37.5003328,126.9157099,____,1E6CD6
11560,37.5011533,126.9100543,____,1E6CD6
11560,37.4990643,126.908687,____,1E6CD6
11650,37.4972519,126.9837652,___,16F22D
11560,37.4966477,126.9111542,____,1E6CD6
11410,37.5945439,126.9477341,____,194C67
11290,37.5853093,127.0215707,___,A66FCB
11440,37.5504515,126.9085316,___,FC00F0
11500,37.5702061,126.8470847,___,A816F2
11500,37.5595051,126.8629722,___,A816F2
11530,37.4901011,126.8530205,___,16EDF2
11470,37.5466971,126.8770034,___,6323DB
11470,37.5338479,126.8292763,___,6323DB
11470,37.5093641,126.8662621,___,6323DB
11320,37.6657406,127.0433211,___,F2B416
11410,37.5750871,126.926406,____,194C67
11410,37.5658722,126.9662341,____,194C67
11740,37.541603,127.1240904,___,3616F2
11680,37.5098957,127.0651174,___,F7071C
11305,37.6350896,127.036544,___,F27616
11500,37.570436,126.838124,___,A816F2
11500,37.5418904,126.8553426,___,A816F2
11305,37.6211497,127.0453417,___,F27616
11530,37.4973627,126.8289827,___,16EDF2
11350,37.6269426,127.071947,___,C5F216
11530,37.5079252,126.8870843,___,16EDF2
11530,37.4952369,126.8823614,___,16EDF2
11320,37.6843542,127.0457294,___,F2B416
11590,37.5058455,126.9229235,___,34EA0C
11680,37.4873188,127.100841,___,F7071C
11545,37.4499258,126.8959379,___,EA2A0C
11545,37.4393198,126.9008963,___,EA2A0C
11320,37.6414052,127.0402694,___,F2B416
11440,37.5498801,126.9326977,___,FC00F0
11410,37.5757613,126.903892,____,194C67
11410,37.5808184,126.9365839,____,194C67
11440,37.5537541,126.9115032,___,FC00F0
11650,37.503196,127.0108983,___,16F22D
11290,37.6005435,127.014154,___,A66FCB
11290,37.6031531,127.0353271,___,A66FCB
11380,37.5894163,126.9127903,___,16F277
11380,37.5790777,126.901343,___,16F277
11260,37.5909793,127.0797257,___,16DEF2
11260,37.5876484,127.0954727,___,16DEF2
11260,37.6017576,127.0790782,___,16DEF2
11320,37.661225,127.0417345,___,F2B416
11470,37.5169939,126.8664721,___,6323DB
11470,37.5190601,126.8356196,___,6323DB
11560,37.5236799,126.8964476,____,1E6CD6
11560,37.528643,126.8945047,____,1E6CD6
11560,37.5347219,126.9021123,____,1E6CD6
11560,37.5138992,126.8951598,____,1E6CD6
11560,37.5173884,126.8901603,____,1E6CD6
11560,37.5227196,126.8896975,____,1E6CD6
11650,37.4953984,126.9831778,___,16F22D
11650,37.505277,127.0071934,___,16F22D
11650,37.4951938,127.0136485,___,16F22D
11650,37.4864862,126.9826674,___,16F22D
11650,37.4853311,127.0290755,___,16F22D
11650,37.4984732,127.0241941,___,16F22D
11650,37.4847121,127.0396459,___,16F22D
11650,37.4914884,127.0106312,___,16F22D
11650,37.4768081,126.9835477,___,16F22D
11740,37.5482128,127.1210916,___,3616F2
11710,37.5185474,127.0768915,___,DB3323
11650,37.5188409,127.0096296,___,16F22D
11110,37.5671336,126.9894788,___,A65AFF
